facility id,notification,Attorney,Total
3704 ,P56324,KCM,7200
3704 ,P56323,KCM,7200
2526 ,P37231,BTG,3500
2526 ,P37230,BTG,3500
158141,P60306,WBW,9438.66
115862,P59039,NSF,1000
115862,P61478,NSF,1000
115862,P61475,NSF,1000
800057,P52622,BTG,3000
84456 ,P61702,NSF,2500
137966,P58832,KCM,1200
165580,P62241,WBW,1000
165580,P61253,WBW,1000
45471 ,P52196,KCM,1200
158910,P34696,NSF,10000
114801,P57815,BTG,10625
173194,P56835,NSF,1600
173194,P59918,NSF,1600
157644,P60324,LBN,500
11034 ,P55543,TRB,1000
800026,SRV105,KCM,71200
176308,P58087,KCM,1650
174718,P61707,KCM,1600
177675,P57693,KCM,5500
177813,P61439,KCM,770
6638,P61855,KCM,1500
171583,P59268,KCM,440
177814,P61437,KCM,275
158931,P60919,KCM,550
100542,P59374,KCM,1800
178420,P60130,KCM,550
8309,P61909,KCM,600
64327,P60959,KCM,1300
75495,P60960,KCM,1300
1209,P61607,KCM,3000
140811,P61069,KCM,850
148898,P61772,KCM,800
177480,P60700,KCM,600
106302,P59774,KCM,650
170043,P59305,KCM,1000
14953,P61441,KCM,1000
137111,P59338,KCM,650
137111,P59338,FAC,650
137111,P59338,INT,650
168971,P44883,INT,1100
168971,P44882,INT,1100
117466,P60917,INT,360
167023,P59780,INT,560
133991,P58597,INT,800
171711,P58086,INT,1700
171711,PERP 2459,INT,1700
35188 ,HRB2263,KCM,4000
44873 ,HRB2261,KCM,7500
44873 ,Penalty is for December 2014 and January 2015.,KCM,7500
173952,HRB2262,NAS,1000
173952,HRB2262,INT,1000
138740,P62439,INT,1500
174658,P60911,INT,1000
172253,P59637,INT,250
11818 ,P53012,BTG,72500
11818 ,P53008,BTG,72500
11818 ,P53009,BTG,72500
11818 ,P53011,BTG,72500
11818 ,P63550,BTG,72500
11818 ,P53088,BTG,72500
166488,P61716,NSF,5000
163648,P61255,MJR,750
173290,P61610,WBW,1000
73367 ,P60512,TRB,1000
800408,P59376,TRB,1000
121727,P26999,TRB,5000
20061 ,P53991,KCM,170000
20061 ,P53995,KCM,170000
20061 ,P53997,KCM,170000
20061 ,P51537,KCM,170000
20061 ,P45973,KCM,170000
79682 ,P49171,TRB,25000
79682 ,P49170,TRB,25000
79682 ,P49172,TRB,25000
175515,P63015,TRB,1000
158553,P64263,TRB,550
174644,P61272,TRB,300
173194,P59799,TRB,675
162093,P63009,TRB,550
165678,P60857,TRB,560
104641,P63750,TRB,900
177354,P63002,TRB,200
70966,P60138,TRB,2125
171905,P60671,TRB,1500
172416,P60942,TRB,1000
178480,P59789,TRB,1000
67742,P61320,TRB,850
132187,P59677,TRB,2100
174130,P60844,TRB,400
172211,P61196,TRB,300
166511,P60667,TRB,500
6488,P61324,TRB,1450
127838,P63850,TRB,1300
170730,P61269,TRB,600
180670,P64253,TRB,425
148506,P64350,TRB,200
141429,P61275,TRB,650
144422,P64002,TRB,1800
118089,P62448,TRB,600
169529,P61697,TRB,1500
165182,P60826,TRB,1200
61499,P61271,TRB,550
140445,P60931,TRB,2000
149887,P64103,TRB,1400
179544,P63205,TRB,900
175122,P64100,TRB,1600
171787,P61676,TRB,715
171782,P60949,TRB,150
175713,P63062,TRB,300
113234,P60809,TRB,1800
113234,P59347,TRB,1100
5679,P61322,TRB,4500
58990,P61981,TRB,900
178733,P63206,TRB,300
156551,P64259,TRB,400
128183,P61561,TRB,1700
131310,HRB2317,BTG,1000
72040 ,HRB2315,RRF,100
72040 ,HRB2318,RRF,100
123715,HRB2319,MJR,1500
13990 ,HRB2316,KCM,12000
13990 ,HRB2316,INT,12000
122666,P62801,NSF,32500
122666,P57648,NSF,32500
122666,P62056,NSF,32500
122666,P55671,NSF,32500
1073 ,P57642,BTG,7500
1073 ,P55546,BTG,7500
180324,P59525,MJR,2500
12876 ,P61505,RRF,1500
179210,P61115,WBW,2500
125015,P59377,RRF,10000
125015,P53146,RRF,10000
125015,P54974,RRF,10000
167111,P61975,NSF,2500
167111,P61977,NSF,2500
167111,P61966,NSF,2500
167111,P61966,FAC,2500
167111,P61966,INT,2500
177591,P53084,RRF,1000
36412 ,P59764,PH3,750
140836,P63012,PH3,1350
180111,P63017,PH3,550
130741,P61687,PH3,400
149033,P61983,PH3,600
47212 ,P64265,PH3,1170
117076,P63014,PH3,375
18524 ,P56990,PH3,400
13510 ,P62489,PH3,500
164968,P62349,PH3,950
148449,P63650,PH3,100
148449,P63650,FAC,100
148449,P63650,INT,100
133877,P60945,INT,1100
170155,P64251,INT,550
50300 ,P63953,INT,1100
142972,P63702,INT,200
170326,P61257,INT,400
16889 ,P61257,INT,5491.17
119907,P62054,BTG,25000
70481 ,P60853,BTG,500
174248,P53078,BTG,500
177691,P33594,NAS,1000
178165,P53085,RRF,2500
147371,P64500,NSF,1500
48522 ,P59508,MJR,2000
45709 ,P60331,KCM,25000
174245,P61355,BTG,1500
177448,P62020,WBW,250
177448,P62016,WBW,250
157928,P60345,WBW,1500
177590,P33593,NAS,1000
177590,P33593,FAC,1000
177590,P33593,INT,1000
159291,P53077,BTG,500
154233,P56898,MJR,500
40483,P56315,BBB,9000
144089,P61802,NSF,97500
112853,P57375,VKT,300
158910,P61509,NSF,3500
172857,P60841,NSF,6500
172857,P60847,NSF,6500
172857,P60849,NSF,6500
172857,P59323,NSF,6500
117227,P62800,NSF,15000
117227,P14151,NSF,15000
114801,P57744,BTG,115000
11119,P51982,KCM,150000
11119,P37233,KCM,150000
11119,P55534,KCM,150000
11119,P51980,KCM,150000
11119,SRV 114*,KCM,150000
11119,SRV 114*,FAC,150000
11119,SRV 114*,INT,150000
154445,P60840,INT,200
12155 ,P60840,MJR,500
11119 ,P60840,KCM,500
2812 ,P57292,WBW,42555
2812 ,P57292,FAC,42555
2812 ,P57292,INT,42555
179498,P63551,INT,1925
179498,P63553,INT,785
151081,P63202,INT,1500
74094,P61274,INT,300
107944,P61691,INT,1450
181419,P61566,INT,2200
109236,P63103,INT,300
151118,P63019,INT,750
147772,P63208,INT,450
127621,P63703,INT,1000
25649,P64106,INT,1500
177549,P61982,INT,550
171315,P64101,INT,1750
171315,P64101,FAC,1750
181319,P56043,INT,500
156658,P63010,INT,600
148579,P61276,INT,3750
72512 ,P61564,INT,700
108687,P63851,INT,4000
127043,P63601,INT,1600
